ID No,Prog Code,Gender,YoG,CGPA,CGPA100,CGPA200,CGPA300,CGPA400,SGPA
42308,ICE,Female,2010,3.23,2.88,3.48,2.62,2.9,3.13
70978,BCH,Female,2010,3.58,3.25,4.26,3.37,3.47,3.02
31602,BCH,Male,2010,2.21,1.78,1.98,1.49,2.51,2.19
63847,BCH,Male,2010,2.7,2.67,2.44,2,2.35,3.19
30158,BCH,Female,2010,3.88,3.61,3.69,3.63,4.58,4.24
51740,BCH,Male,2010,2.97,2.66,2.98,3.28,3.07,3.13
76075,BCH,Male,2010,3.34,3.68,3,3.44,3.28,3.02
60888,BCH,Female,2010,2.56,2.3,2.5,2.29,2.77,2.68
43378,BCH,Male,2010,3.76,3.3,3.64,3.88,4.37,3.13
80307,BCH,Female,2010,3.96,3.94,3.89,3.81,4.17,3.98
82483,BCH,Female,2010,3.99,3.83,4.06,3.56,4.4,4.11
40021,BCH,Male,2010,3.02,2.94,3.02,3,3.13,2.92
54093,BCH,Female,2010,4.99,5,4.98,5,5,4.14
87694,BCH,Female,2010,3.3,3.85,3.26,2.56,3.28,3.13
36750,BCH,Female,2010,4.44,4.32,4.28,4.53,4.71,2.89
33891,BCH,Female,2010,4.22,4.02,4.18,4.19,4.51,2.5
59057,BCH,Male,2010,3.61,4.02,3.55,3.34,3.45,3.04
72189,BCH,Female,2010,3.92,3.74,3.98,3.69,4.2,3.54
81428,BCH,Male,2010,3.29,3.4,2.37,3.91,4,2.55
93847,BCH,Male,2011,3.77,3.89,3.51,3.84,3.88,3.13
60462,BCH,Female,2011,3.86,3.45,3.63,3.9,4.59,3.59
89501,BCH,Female,2011,4.4,4.04,4.38,4.52,4.73,3.52
95498,BCH,Female,2011,3.41,3,3.48,3.42,3.76,3.13
48552,BCH,Female,2011,4.14,3.34,4.55,4.39,4.41,4.22
77591,BCH,Female,2011,4.59,4.34,4.7,4.74,4.63,3.52
68825,BCH,Female,2011,3.98,3.79,4.26,3.65,4.12,2.99
67261,BCH,Male,2011,2.69,2.49,2.62,2.52,3.06,3.36
47144,BCH,Female,2011,4.05,3.66,4.17,4.03,4.37,3.36
85814,BCH,Female,2011,3.64,3.32,3.45,4.16,3.86,2.66
69531,BCH,Female,2011,4.27,4.28,4.21,4.52,4.12,4.03
79884,BCH,Male,2011,2.63,2.98,2.56,2.32,2.6,2.81
45410,BCH,Female,2011,4.58,4.28,4.74,4.71,4.63,3.83
60050,BCH,Female,2011,2.7,2.74,2.37,2.85,2.88,3.13
76544,BCH,Female,2011,2.83,2.94,2.51,2.68,3.17,3.3
39674,BCH,Female,2011,3.9,3.62,3.81,3.94,4.32,3.66
60321,BCH,Female,2011,4.03,3.74,3.89,4.29,4.3,4.06
51531,BCH,Female,2011,3.89,3.32,4.13,4.15,3.89,2.95
90431,BCH,Male,2011,3.76,3.91,3.68,3.55,3.83,2.89
85661,BCH,Female,2011,3.56,3.66,3.31,3.71,3.63,3.54
29174,BCH,Female,2011,3.7,3.6,3.38,4,3.98,3.36
51383,BCH,Female,2011,3.41,3.36,3.18,3.19,3.86,3.05
75401,BCH,Male,2011,2.83,2.79,2.25,3.06,3.46,2.73
56392,BCH,Female,2011,4.17,3.98,4.17,4.45,4.17,2.57
25220,BCH,Female,2011,3.26,3.28,3.17,3.13,3.42,3.59
96366,BCH,Female,2011,2.62,2.6,2.34,2.29,3.14,3.44
42908,BCH,Female,2011,2.72,3.13,2.51,2.23,2.84,2.85
66373,BCH,Female,2011,4.7,4.3,4.72,4.94,4.95,4.45
50580,BCH,Male,2011,3.31,3.28,3.14,3.42,3.45,2.97
94666,BCH,Female,2011,4.01,4,3.61,3.97,4.52,3.83
31083,BCH,Male,2011,2.49,2.89,1.94,2.45,2.84,3.05
53806,BCH,Male,2011,3.21,3.3,2.84,3.45,3.44,3.56
87210,BCH,Female,2011,2.97,2.7,2.65,3.26,3.28,2.97
63782,BCH,Female,2011,4.02,3.43,4.12,4.35,4.34,2.95
94070,BCH,Female,2011,3.85,3.47,3.68,3.64,4.43,3.75
44700,BCH,Female,2011,3.24,2.98,3.05,3.23,3.77,2.77
77630,BCH,Female,2011,2.93,2.87,2.47,3,3.32,3.36
52334,BCH,Male,2011,2.84,3.47,2.67,2.13,2.9,2.86
41007,BCH,Female,2011,3.66,3.3,4,3.32,3.89,3.13
26773,BCH,Female,2011,2.92,2.43,2.46,2.81,3.86,2.5
76637,BCH,Female,2011,2.89,2.64,3.06,2.88,2.97,2.85
66754,BCH,Female,2011,4.18,3.62,4.46,3.85,4.56,3.93
36874,BCH,Female,2011,4.1,3.47,4.34,4.35,4.37,3.36
48459,BCH,Female,2012,3.54,3.71,3.46,3.81,3.23,2.78
69939,BCH,Female,2012,4.65,4.72,4.52,4.68,4.71,4.44
33742,BCH,Female,2012,2.51,2.72,1.96,2.61,2.72,2.86
34327,BCH,Female,2012,3.18,3.17,2.94,3.32,3.33,2.58
77803,BCH,Female,2012,2.73,3.26,2.62,3,2.22,2.89
79182,BCH,Male,2012,2.99,3.33,2.76,3,2.8,3.26
74121,BCH,Female,2012,2.7,2.78,2.47,2.42,2.84,3.44
68121,BCH,Female,2012,2.72,2.78,2.56,2.68,2.57,3.28
56856,BCH,Female,2013,2.18,2.76,1.93,2.81,1.8,2.78
78395,BCH,Male,2012,2.78,3.46,2.74,2.55,2.32,3.44
62002,BCH,Female,2012,2.48,2.61,2.57,2.32,2.38,2.46
34280,BCH,Female,2012,3.35,3.26,3.3,3.39,3.46,3.13
58040,BCH,Female,2012,4.24,4.2,4.22,4.39,4.22,3.54
48071,BCH,Female,2012,2.57,3.04,2.5,2.55,2.3,2.17
68279,BCH,Female,2012,4.65,4.43,4.7,4.68,4.8,4.38
32512,BCH,Female,2012,4.36,4.28,4.41,4.26,4.46,3.89
23893,BCH,Male,2012,3.29,3.28,2.85,3.23,3.73,2.64
40002,BCH,Female,2012,3.42,3.67,3.17,3.68,3.21,2.69
32972,BCH,Male,2012,2.5,2.85,2.38,2.45,2.35,2.29
36440,BCH,Female,2012,3.37,3.59,3.36,3.39,3.12,3.36
40727,BCH,Female,2012,3.72,3.85,3.43,3.68,3.93,3.3
74956,BCH,Female,2013,2.32,2.52,1.97,1.97,2.59,2.67
72281,BCH,Male,2012,3.13,3.3,2.85,3.32,2.98,3.47
94807,BCH,Male,2012,3.17,3.5,3.02,2.94,3.16,3.21
89200,BCH,Female,2012,3.51,3.41,3.48,3.48,3.64,3.05
96620,BCH,Female,2013,1.91,2.13,1.84,2.23,1.74,2.77
28959,BCH,Female,2012,2.84,3.33,2.8,2.9,2.42,2.66
81977,BCH,Female,2012,3.51,3.93,3.09,3.45,3.53,3.06
47255,BCH,Female,2012,3.4,3.15,3.46,3.55,3.32,3.36
44321,BCH,Female,2012,3.76,3.83,3.94,3.9,3.34,3.13
25299,BCH,Female,2012,4.04,4.3,4.06,4.26,3.56,3.26
89035,BCH,Male,2012,4.02,4.43,4.07,3.87,3.61,3.83
88657,BCH,Female,2012,2.88,2.96,3.09,2.87,2.67,3.21
34754,BCH,Female,2014,2.28,2.83,2.58,2.15,1.8,2.66
52769,BCH,Male,2013,2.98,2.73,3.47,2.13,3.25,2.08
71184,BCH,Female,2013,4.35,4.35,4.52,3.94,4.49,3.13
62114,BCH,Female,2013,3.17,2.9,3.23,3.06,3.46,2.5
27991,BCH,Female,2013,4.36,4.48,4.46,3.74,4.59,3.52
65831,BCH,Female,2013,3.33,3.31,3.19,3.23,3.58,2.92
62549,BCH,Female,2013,4.75,4.79,4.65,4.71,4.85,3.96
66742,BCH,Female,2013,2.43,2.6,2.47,2.26,2.38,2.08
60254,BCH,Female,2013,3.98,4.17,3.91,3.48,4.23,3.26
89412,BCH,Female,2013,3.8,4.08,3.43,3.55,4.08,2.92
76310,BCH,Female,2013,2.88,2.92,3.08,3.23,2.44,2.89
65128,BCH,Female,2013,3.87,4.06,3.72,3.65,3.97,3.13
39732,BCH,Female,2013,4.3,4.25,4.28,4.16,4.51,3.54
70319,BCH,Female,2013,3.99,3.79,4.06,3.71,4.35,2.5
65473,BCH,Female,2013,4.13,4.17,4.13,4,4.21,2.42
61668,BCH,Female,2013,3.65,3.35,3.59,3.48,4.23,3.38
55446,BCH,Male,2013,2.63,3.1,2.6,2.84,2.22,2.66
73235,BCH,Male,2013,4.11,4.33,4.3,3.39,4.18,2.71
73918,BCH,Female,2013,3.56,3.56,3.32,3.1,4.14,2.71
36603,BCH,Female,2013,4.55,4.65,4.35,4.48,4.74,2.36
40934,BCH,Male,2013,3.74,3.85,3.93,2.74,4.11,2.95
62591,BCH,Female,2013,4.23,3.96,4.22,4.03,4.72,4.38
44387,BCH,Female,2013,4.15,4.08,4.22,3.84,4.41,4.14
25727,BCH,Female,2013,3.28,3.15,3.65,2.71,3.45,3.54
33165,BCH,Female,2013,4.3,4.08,4.43,4.16,4.54,3.82
30063,BCH,Female,2013,4.04,3.73,4.04,3.94,4.51,3.54
26083,BCH,Female,2013,4.19,3.85,4.06,4.45,4.56,3.68
45732,BCH,Female,2013,2.55,1.73,2.4,2.61,3.3,2.57
80688,BCH,Male,2013,2.82,2.88,2.89,2.39,3,3.83
62099,BCH,Female,2013,3.26,3.79,3.18,2.35,3.39,2.42
27055,BCH,Female,2013,4.33,4.38,4.15,4.32,4.49,2.43
76642,BCH,Female,2013,3.87,3.98,3.61,3.55,4.28,3.19
25569,BCH,Female,2013,3.19,3.27,3.29,2.65,3.38,1.76
30867,BCH,Female,2013,4.25,4.13,4.46,4.23,4.18,2.15
61462,BCH,Male,2013,3.83,3.73,3.72,3.81,4.07,2.85
31615,BCH,Male,2013,3.36,3.38,3.35,3.32,3.39,3.23
35331,BCH,Female,2014,3.47,3.46,3.33,3.94,3.32,3.13
70546,BCH,Male,2014,3.46,2.83,3.44,4.13,3.66,2.19
83356,BCH,Female,2014,3.64,3.98,3.11,3.71,3.76,2.92
89894,BCH,Female,2014,4.91,4.75,4.98,4.94,4.98,3.54
63387,BCH,Female,2014,3.02,2.73,2.92,3.03,3.34,2.64
95377,BCH,Female,2014,4.63,4.46,4.78,4.65,4.64,3.36
67162,BCH,Female,2014,4.2,3.77,4.37,4.16,4.51,2.99
57610,BCH,Male,2014,4.06,3,4.02,4.81,4.71,2.85
29869,BCH,Female,2014,3.7,3.69,3.35,3.65,4.06,2.64
55505,BCH,Female,2014,3.62,3.85,3.37,3.68,3.58,2.29
54816,BCH,Female,2014,4.24,4.33,4.04,4.52,4.24,3.2
69822,BCH,Male,2014,3.07,2.96,2.94,3.52,3.02,2.41
29696,BCH,Female,2014,3.72,3.58,3.65,3.84,3.83,2.47
96250,BCH,Female,2014,4.11,3.96,4.13,4.35,4.09,3.33
62285,BCH,Female,2014,4.38,3.98,4.13,4.77,4.8,3.98
92589,BCH,Female,2014,3.03,3.31,2.54,2.97,3.25,2.78
97014,BCH,Female,2014,3.26,3.5,2.96,3.32,3.27,4.18
29835,BCH,Male,2014,4.33,3.69,4.19,4.94,4.73,2.57
56265,MCB,Male,2010,4.13,4.35,3.48,4.43,4.35,3.19
32236,MCB,Male,2010,2.92,3.1,2.27,3.39,3.2,3.59
95984,MCB,Female,2010,3.17,2.71,2.85,3.93,3.56,2.86
24519,MCB,Female,2010,3.98,3.58,3.66,4.67,4.27,2.97
29994,MCB,Female,2010,3.96,3.9,3.71,4.07,4.23,2.99
64063,MCB,Female,2010,4.26,4.17,4.13,4.3,4.46,2.29
83948,MCB,Female,2010,3.85,3.67,3.7,4.17,4,4.11
33118,MCB,Female,2010,3.19,3.02,2.69,3.57,3.28,3.28
94989,MCB,Male,2011,3.78,3.57,3.24,4.39,4.19,3.52
27993,MCB,Female,2011,3.12,3.2,2.55,3.61,3.49,2.86
55933,MCB,Female,2011,4.7,4.7,4.53,4.86,4.8,3.68
54319,MCB,Male,2011,3.14,3.26,2.55,3.81,3.41,3.82
37769,MCB,Male,2011,2.29,2.53,1.98,2.52,2.29,2.73
65790,MCB,Female,2011,2.61,2.59,2.03,2.65,3.29,2.73
38329,MCB,Female,2011,2.53,2.54,2.22,2.84,2.69,2.95
67765,MCB,Female,2011,3.61,3.7,3.51,3.68,3.57,3.13
85500,MCB,Male,2011,2.56,3.15,1.72,3.55,2.54,2.27
72755,MCB,Female,2011,2.5,2.67,1.94,3,2.69,3.3
54660,MCB,Female,2011,3.39,3.67,2.94,3.76,3.39,3.13
78198,MCB,Female,2011,2.93,3.04,2.27,3.35,3.48,2.27
50420,MCB,Female,2011,2.6,2.98,2.34,2.58,2.59,2.97
71972,MCB,Female,2011,3.74,3.26,3.25,4.41,4.44,3.67
45568,MCB,Female,2011,3.87,3.61,3.53,4.29,4.27,3.59
41438,MCB,Female,2012,2.29,2.46,2.23,2.16,2.24,3.44
76075,MCB,Male,2014,2.32,2.61,1.98,1.77,2.67,2.68
78063,MCB,Female,2011,4.25,4.07,4.18,4.59,4.29,3.91
86041,MCB,Female,2011,2.28,2.35,2.03,2.23,2.46,2.86
25836,MCB,Female,2011,3,2.65,2.92,3.21,3.29,2.95
75888,MCB,Female,2011,3.64,3.2,3.4,4.52,3.77,2.5
42113,MCB,Female,2011,4.22,3.89,4.04,4.66,4.49,3.05
87505,MCB,Female,2011,3.54,3.41,3.2,4.28,3.61,3.13
41255,MCB,Female,2011,3.16,3.3,2.59,3.19,3.8,3.75
38409,MCB,Female,2011,3.93,3.7,3.65,4.52,4.15,3.44
64152,MCB,Female,2011,4.25,3.89,4.18,4.62,4.46,3.05
90420,MCB,Female,2011,4.5,4.39,4.2,4.83,4.76,3.52
60775,MCB,Female,2011,2.92,3.04,2.55,2.9,3.31,3.75
37039,MCB,Male,2011,3.46,3.26,2.88,4.19,3.98,2.92
91230,MCB,Female,2011,4.25,3.48,4.37,4.55,4.76,2.34
39114,MCB,Female,2011,3.98,3.26,3.84,4.52,4.53,3.13
62205,MCB,Female,2011,3.47,3.15,2.72,4.03,4.39,3.52
71910,MCB,Female,2011,4.55,4.43,4.53,4.72,4.56,3.83
82394,MCB,Male,2012,2.18,2.26,1.81,3.39,2.01,2.86
54606,MCB,Female,2011,3.83,3.54,3.42,4.16,4.41,3.44
74973,MCB,Female,2011,3.66,3.33,3.13,4.28,4.24,3.28
28749,MCB,Female,2011,4.09,3.5,3.94,4.62,4.56,3.91
29406,MCB,Male,2011,3.28,3.41,3.12,3.29,3.3,3.28
50336,MCB,Female,2011,3.81,3.46,3.47,4.28,4.25,3.52
34627,MCB,Female,2011,3.41,3.09,3.2,3.84,3.69,3.05
65917,MCB,Female,2011,4.55,4.35,4.71,4.79,4.41,3.75
70068,MCB,Female,2011,2.5,3.02,2.69,3.23,2.3,2.15
55791,MCB,Male,2011,3.89,3.3,3.67,4.45,4.39,2.73
77762,MCB,Female,2011,4.04,3.96,3.94,4.42,3.98,4.06
79850,MCB,Female,2011,3.68,3.63,3.19,4.03,4.15,3.84
46988,MCB,Male,2012,4.63,4.18,4.53,4.93,4.96,2.38
38648,MCB,Female,2012,3.84,3.63,3.55,4.24,4.18,2.6
84765,MCB,Female,2014,1.96,1.71,1.76,1.64,2.72,2.97
56919,MCB,Male,2012,3.69,3.2,3.45,4.03,4.14,3.57
64979,MCB,Female,2012,2.78,2.9,2.22,3.26,3,2.89
68153,MCB,Female,2012,2.8,3.33,2.03,3.61,2.62,2.64
29904,MCB,Female,2012,4.06,3.71,3.73,4.48,4.6,3.68
88770,MCB,Male,2012,4.29,3.96,4.22,4.66,4.51,3.44
33831,MCB,Female,2012,3.01,2.69,2.81,3.71,3.12,2.46
70995,MCB,Female,2012,3.02,2.8,2.73,3.9,2.85,2.68
79294,MCB,Female,2012,3.85,3.55,3.49,4.52,4.17,4.11
75612,MCB,Female,2012,3.53,3.71,2.77,4.17,3.83,3.26
71023,MCB,Female,2012,3.5,3.22,3,3.87,4.23,2.67
95084,MCB,Female,2012,4.5,4.31,4.29,4.86,4.74,3.52
70709,MCB,Male,2012,3.07,2.9,2.91,3.61,3.09,2.81
76227,MCB,Female,2013,2.12,1.69,1.77,3.19,2.24,3.13
28270,MCB,Female,2012,3.45,2.59,3.27,4.3,3.88,3.36
91438,MCB,Female,2012,3.17,2.69,2.89,4,3.43,2.34
34666,MCB,Female,2012,3.12,3.45,2.4,3.42,3.5,3.61
62254,MCB,Male,2013,2.83,2.27,2.88,3.58,2.85,3.04
63687,MCB,Female,2012,2.51,2.59,2.17,2.81,2.4,3.06
61676,MCB,Female,2012,4.14,3.45,4.47,4.59,4.23,3.4
58690,MCB,Female,2012,4.41,4.35,4.02,4.72,4.77,4.3
29337,MCB,Male,2012,2.52,2.41,2.03,2.61,3,2.54
64657,MCB,Male,2012,4.52,4.37,4.59,4.66,4.54,4.03
86769,MCB,Female,2012,3.89,3.57,3.65,4.52,4.15,3.88
51863,MCB,Female,2012,2.48,2,2.25,2.52,2.93,2.78
81642,MCB,Female,2014,1.79,1.65,1.8,1.74,1.87,2.13
48363,MCB,Female,2012,3.7,3.14,3.37,4.32,3.86,2.5
52884,MCB,Female,2012,4.01,3.55,4.02,4.59,3.86,3.3
30373,MCB,Female,2012,4.16,4.2,3.98,4.62,3.97,3.13
39768,MCB,Male,2013,2.07,3.04,1.94,2.23,1.58,3.13
67454,MCB,Female,2012,2.52,2.45,2.12,3.1,2.52,2.89
55958,MCB,Female,2012,4.03,3.78,3.76,4.83,4.1,3.98
84612,MCB,Male,2012,3.61,3.18,3.52,4.35,3.69,2.92
65308,MCB,Female,2012,3.35,3.31,3.37,3.69,3.02,2.64
84684,MCB,Female,2012,3.98,3.31,4.16,4.55,4.17,2.5
87463,MCB,Female,2012,2.34,2.69,2.02,2.06,2.49,2.17
64777,MCB,Female,2013,2.19,2.49,2.07,2.48,2,3.47
69247,MCB,Female,2012,3.61,3.37,3.18,4.23,3.74,2.71
24100,MCB,Female,2012,3.3,2.94,3.02,3.9,3.67,3.86
55026,MCB,Female,2012,3.79,3.55,3.1,4.62,4.32,3.2
33743,MCB,Female,2012,4.26,4.06,4.14,4.62,4.38,3.13
65869,MCB,Female,2012,3.89,3.59,3.73,4.03,4.3,3.4
56611,MCB,Female,2012,4.46,4.04,4.41,4.72,4.85,2.95
95820,MCB,Male,2012,4.54,4.22,4.65,4.59,4.76,4.3
61373,MCB,Female,2013,4.27,4.04,4.16,4.59,4.49,2.19
54104,MCB,Female,2014,2.19,2.23,1.93,2.34,2.32,2.99
35893,MCB,Male,2013,3.98,3.96,4.02,3.52,4.27,2.71
35370,MCB,Female,2013,2.59,2.58,2.2,2.42,3.13,2.42
78033,MCB,Female,2013,4.05,3.77,3.9,3.87,4.72,2.66
55766,MCB,Female,2013,2.74,2.77,1.95,2.55,3.68,2.71
61204,MCB,Male,2013,4.14,3.83,3.96,4.21,4.68,3.68
68727,MCB,Female,2013,3.44,3.29,3.14,3.41,3.9,3.68
30681,MCB,Male,2013,3.09,3.35,2.55,2.87,3.68,2.28
61527,MCB,Female,2013,4.45,4.42,4.22,4.34,4.87,3.96
75468,MCB,Female,2013,2.42,2.21,2.2,2.32,2.88,2.34
63093,MCB,Female,2013,2.45,2.56,1.72,2.71,2.86,3.05
91670,MCB,Female,2013,2.85,2.73,2.64,2.39,3.41,2.58
94773,MCB,Female,2013,3.86,3.79,3.65,3.83,4.23,2.97
91114,MCB,Female,2013,2.34,2.02,1.89,2.55,2.91,2.14
47396,MCB,Male,2013,3.8,3.88,3.29,3.45,4.61,3.2
63328,MCB,Male,2013,2.47,2.65,1.78,2.52,3.04,3.13
91867,MCB,Female,2013,3.93,3.96,3.6,3.61,4.5,3.4
65260,MCB,Female,2013,4.24,4.23,3.98,4,4.76,3.61
74172,MCB,Female,2013,3.27,3.46,2.62,3.55,3.76,2.85
26234,MCB,Female,2013,3.88,4.08,3.51,3.38,4.46,2.64
85544,MCB,Female,2013,2.69,2.88,2.1,2.74,3.16,2.5
94288,MCB,Male,2013,3.61,2.88,3.08,4.48,4.4,2.92
39347,MCB,Female,2013,2.71,3.08,2.09,2.77,3.02,2.41
73044,MCB,Female,2013,3.39,3.38,2.79,3.6,4.05,3.96
25695,MCB,Male,2013,3.06,3.15,2.53,2.93,3.7,2.85
36723,MCB,Male,2013,2.96,3.17,2.55,2.26,3.66,2.42
80074,MCB,Female,2013,4.22,4.06,3.94,4.21,4.77,3.57
83435,MCB,Female,2013,4.28,4.29,4.12,4.03,4.64,2.81
88837,MCB,Female,2014,2.38,2.5,1.95,2.66,2.58,2.73
74936,MCB,Female,2013,4.22,4.08,3.88,4.41,4.69,2.73
62245,MCB,Female,2013,3.71,3.77,3.11,3.55,4.5,2.77
54900,MCB,Female,2013,3.8,3.6,3.31,3.9,4.62,1.65
78766,MCB,Male,2013,2.93,3.54,2.26,2.89,3.21,3.05
69507,MCB,Female,2013,2.72,2.08,2.41,3.06,3.44,2.29
76957,MCB,Female,2013,4.37,4.19,4.08,4.41,4.95,3.4
27975,MCB,Female,2013,4.35,3.96,4.27,4.48,4.82,3.47
54885,MCB,Female,2013,4.04,4.08,3.71,3.83,4.59,2.35
88597,MCB,Female,2013,2.6,2.67,2.27,2.29,3.09,2.58
86251,MCB,Female,2013,3.43,3.15,3.12,3.03,4.38,2.81
51979,MCB,Female,2013,3.94,4,3.61,3.77,4.37,3.26
76661,MCB,Female,2013,3.98,3.75,3.88,3.86,4.46,2.41
84087,MCB,Male,2013,3.28,3.25,2.88,3.31,3.73,2.05
24795,MCB,Female,2013,3.15,3.19,2.82,2.9,3.68,2.34
59574,MCB,Female,2014,3.88,3.31,3.54,4.66,4.44,2.71
80796,MCB,Female,2014,3.28,3.52,2.86,3.13,3.04,2.15
46255,MCB,Male,2014,3.88,3.52,3.64,3.97,4.5,3.28
51788,MCB,Female,2014,3.72,3.44,3.27,4.23,4.2,2.66
38612,MCB,Female,2014,4.18,3.81,3.86,4.76,4.62,2.92
60854,MCB,Female,2014,3.65,3.6,3.22,4.1,3.88,2.89
83154,MCB,Male,2014,2.92,3.42,2.14,3.32,2.95,3.82
27184,MCB,Female,2014,3.76,2.98,3.52,4.45,4.38,2.1
72640,MCB,Female,2014,4.12,3.81,3.8,4.65,4.49,2.78
31546,MCB,Female,2014,4.14,4.06,3.94,4.34,4.33,2.92
95632,MCB,Female,2014,4.4,4.17,4.08,4.83,4.77,3.68
52510,MCB,Female,2014,3.33,3.4,2.73,3.84,3.57,1.7
65844,MCB,Female,2014,3.31,3.4,2.64,3.42,3.72,2.85
82841,MCB,Male,2014,3.99,3.85,3.57,4.52,4.28,4.1
53365,MCB,Female,2014,4.3,3.98,4.22,4.62,4.54,2.67
65341,MCB,Female,2014,4.41,3.9,4.29,4.86,4.87,3.75
32999,MCB,Female,2014,3.23,2.96,2.51,4.13,3.65,2.92
59543,MCB,Female,2014,3.59,3.19,3.51,4.28,3.69,3.26
76199,MCB,Female,2014,4.11,3.58,3.86,4.48,4.79,3.13
39626,MCB,Female,2014,3.9,3.77,3.35,4.48,4.31,3.59
